iter	Logloss
0	0.6612085803
1	0.6323653215
2	0.5961514177
3	0.56945157
4	0.5390178069
5	0.518929967
6	0.4978897992
7	0.4782396669
8	0.4610677413
9	0.4448411798
10	0.4298196603
11	0.4152929527
12	0.4036755359
13	0.3927754679
14	0.3743088666
15	0.3626236674
16	0.3543516705
17	0.3462449203
18	0.3330127027
19	0.3260090114
20	0.3175899359
21	0.3073929792
22	0.3003114774
23	0.2939081095
24	0.2857704395
25	0.2771312102
26	0.2694345904
27	0.2653121484
28	0.2598283625
29	0.2562752157
30	0.2531705938
31	0.2464232687
32	0.2427660805
33	0.2390416515
34	0.2362365104
35	0.232942794
36	0.2297000846
37	0.2266730566
38	0.2235810626
39	0.2216323945
40	0.2174445224
41	0.2152298778
42	0.2130098788
43	0.2101052615
44	0.205956047
45	0.2027827605
46	0.2001288764
47	0.1984285583
48	0.1959566499
49	0.1939129626
50	0.1905949962
51	0.1891280014
52	0.1876227358
53	0.1852634113
54	0.1839865787
55	0.1826190446
56	0.1804315439
57	0.1789659109
58	0.1775505577
59	0.1752595418
60	0.1740689848
61	0.1717482406
62	0.1703836468
63	0.1687799109
64	0.1677110219
65	0.1661751149
66	0.1649711872
67	0.163990013
68	0.1622711398
69	0.1610236642
70	0.1598569704
71	0.1589244046
72	0.1577499885
73	0.1563644873
74	0.1556486861
75	0.1546197547
76	0.153996249
77	0.1532156985
78	0.151818111
79	0.1509072418
80	0.1502345242
81	0.1490503895
82	0.1482935474
83	0.1476027081
84	0.1464203376
85	0.1450497393
86	0.1443764182
87	0.1436137573
88	0.1424703076
89	0.1415235972
90	0.1404458253
91	0.1398309394
92	0.1387453215
93	0.1380514334
94	0.1375136927
95	0.1365257093
96	0.1357876853
97	0.1346576219
98	0.1342373862
99	0.1333391294
100	0.132433104
101	0.1319448537
102	0.1310451113
103	0.1304996018
104	0.1299349338
105	0.1292002602
106	0.1282335479
107	0.1274436502
108	0.1264679543
109	0.1258506311
110	0.1251155242
111	0.1244746086
112	0.1238902017
113	0.1232812893
114	0.1226083318
115	0.1222312107
116	0.1217789563
117	0.1210249152
118	0.1201685505
119	0.1198171496
120	0.1191466295
121	0.1185621529
122	0.1181699354
123	0.1174895652
124	0.1172074788
125	0.1167556035
126	0.1162567912
127	0.1157783369
128	0.1153172924
129	0.1149002911
130	0.1144904626
131	0.1140337977
132	0.113363177
133	0.1128943484
134	0.1125491299
135	0.1122214992
136	0.1118650843
137	0.1112632829
138	0.1108805442
139	0.1099849337
140	0.1096091744
141	0.1092401315
142	0.1088079023
143	0.1083723691
144	0.107902465
145	0.1075215988
146	0.1070221442
147	0.1065459261
148	0.1058877864
149	0.1055840343
150	0.10527793
151	0.1049103959
152	0.1044991824
153	0.1042255146
154	0.1038358197
155	0.1035191611
156	0.1030278854
157	0.1026342055
158	0.1022031061
159	0.1018661901
160	0.1015591264
161	0.1011867562
162	0.1008973499
163	0.100593683
164	0.1001204052
165	0.09984068648
166	0.09948682495
167	0.09911386672
168	0.09871614777
169	0.0984490648
170	0.09810304932
171	0.09763747828
172	0.09746370451
173	0.09716890501
174	0.0969603347
175	0.09658474564
176	0.09624396086
177	0.09595600151
178	0.0956575266
179	0.09529741299
180	0.09498862369
181	0.09460449993
182	0.09438228801
183	0.09403024484
184	0.09385856799
185	0.09353888398
186	0.09319220305
187	0.09285384791
188	0.09247699761
189	0.09218080532
190	0.09189350368
191	0.09152299831
192	0.09129979596
193	0.09098249517
194	0.09079983849
195	0.09054542217
196	0.09027033065
197	0.08997303187
198	0.08968368747
199	0.08943279955
200	0.08917295135
201	0.08899431828
202	0.08878023097
203	0.08862716334
204	0.0882882743
205	0.08800770448
206	0.08768566046
207	0.08747196004
208	0.08719158366
209	0.08681326319
210	0.08659988775
211	0.08632328738
212	0.08607357559
213	0.08581252804
214	0.08555377086
215	0.08533044471
216	0.08517546586
217	0.08488684107
218	0.08462062472
219	0.08441812078
220	0.08406869296
221	0.08371699026
222	0.08347598341
223	0.08333395751
224	0.0831401353
225	0.08291577229
226	0.08269414844
227	0.08257535118
228	0.08231791715
229	0.0820554536
230	0.08176371824
231	0.08143238896
232	0.08128509367
233	0.0811121633
234	0.08095097107
235	0.08071620856
236	0.08052752419
237	0.08020661762
238	0.08007306453
239	0.07988997454
240	0.07975169369
241	0.07958702722
242	0.07944714467
243	0.07928277996
244	0.07907520782
245	0.07892709233
246	0.07874801048
247	0.078588861
248	0.078340542
249	0.07811610936
250	0.07786844033
251	0.07768257249
252	0.07759430829
253	0.07737442543
254	0.07719011287
255	0.07708902727
256	0.07685724378
257	0.07670986338
258	0.07646010517
259	0.07630307583
260	0.07619400489
261	0.07597819206
262	0.07573551387
263	0.07555928724
264	0.07545506785
265	0.07519724693
266	0.07496934005
267	0.07485926321
268	0.07466038052
269	0.07443252006
270	0.0742899061
271	0.07414914145
272	0.07396574968
273	0.07382926399
274	0.07367998785
275	0.07349717641
276	0.073252587
277	0.0730771264
278	0.07292299097
279	0.07277239167
280	0.07268545062
281	0.07252858377
282	0.07229227372
283	0.07207468122
284	0.07191683941
285	0.07174086813
286	0.07158388521
287	0.07152154238
288	0.07127779638
289	0.07116128175
290	0.07089742541
291	0.0707825976
292	0.07064066456
293	0.0704644534
294	0.07038510305
295	0.07019620203
296	0.07006989918
297	0.06990823494
298	0.06968255652
299	0.06953524576
300	0.06938293643
301	0.06923355195
302	0.06910085001
303	0.06891302453
304	0.06879348445
305	0.06860514055
306	0.06852943467
307	0.0683985743
308	0.06827289821
309	0.06815239092
310	0.06805580867
311	0.06792959867
312	0.06779930316
313	0.06764160837
314	0.06752088442
315	0.06740743393
316	0.06724613337
317	0.06716771929
318	0.06701715094
319	0.06686803729
320	0.06660702843
321	0.06651425313
322	0.06635493342
323	0.06622854546
324	0.06615706438
325	0.06601159519
326	0.06582800999
327	0.06561596544
328	0.0654810505
329	0.06527245698
330	0.06506839002
331	0.06495328365
332	0.06483272607
333	0.06471293064
334	0.06452689645
335	0.06442376808
336	0.06436107318
337	0.0642342403
338	0.06410764342
339	0.06401584695
340	0.06388520711
341	0.06379136401
342	0.06371524803
343	0.06364146111
344	0.06353303627
